"city","city_ascii","lat","lng","country","iso2","iso3","admin_name","capital","population","id"
"Seoul","Seoul","37.5600","126.9900","Korea, South","KR","KOR","Seoul","primary","21794000","1410836482"
"Helsinki","Helsinki","60.1756","24.9342","Finland","FI","FIN","Uusimaa","primary","642045","1246177997"
"Rome","Rome","41.8931","12.4828","Italy","IT","ITA","Lazio","primary","2872800","1380382862"
"Milan","Milan","45.4669","9.1900","Italy","IT","ITA","Lombardy","admin","1366180","1380724377"
"Montgomery","Montgomery","32.3473","-86.2666","United States","US","USA","Alabama","admin","254634","1840008353"
"Juneau","Juneau","58.4546","-134.1739","United States","US","USA","Alaska","admin","31974","1840023306"
"Phoenix","Phoenix","33.5722","-112.0891","United States","US","USA","Arizona","admin","4219697","1840020568"
"Little Rock","Little Rock","34.7256","-92.3576","United States","US","USA","Arkansas","admin","439815","1840015509"
"Sacramento","Sacramento","38.5667","-121.4683","United States","US","USA","California","admin","1898019","1840021491"
"Denver","Denver","39.7621","-104.8759","United States","US","USA","Colorado","admin","2876625","1840018789"
"Washington","Washington","38.9047","-77.0163","United States","US","USA","District of Columbia","primary","5379184","1840006060"
"Tallahassee","Tallahassee","30.4551","-84.2526","United States","US","USA","Florida","admin","257601","1840015913"
"Atlanta","Atlanta","33.7627","-84.4224","United States","US","USA","Georgia","admin","5449398","1840013660"
"Honolulu","Honolulu","21.3294","-157.8460","United States","US","USA","Hawaii","admin","820987","1840013305"
"Boise","Boise","43.6007","-116.2312","United States","US","USA","Idaho","admin","389280","1840027142"
"Springfield","Springfield","39.7710","-89.6538","United States","US","USA","Illinois","admin","158509","1840009517"
"Indianapolis","Indianapolis","39.7771","-86.1458","United States","US","USA","Indiana","admin","1588961","1840030084"
"Des Moines","Des Moines","41.5725","-93.6105","United States","US","USA","Iowa","admin","473957","1840007069"
"Topeka","Topeka","39.0346","-95.6955","United States","US","USA","Kansas","admin","147458","1840001621"
"Frankfort","Frankfort","38.1924","-84.8643","United States","US","USA","Kentucky","admin","38852","1840013210"
"Baton Rouge","Baton Rouge","30.4418","-91.1310","United States","US","USA","Louisiana","admin","570308","1840013941"
"Augusta","Augusta","44.3341","-69.7319","United States","US","USA","Maine","admin","22116","1840000302"
"Annapolis","Annapolis","38.9706","-76.5047","United States","US","USA","Maryland","admin","39223","1840005928"
"Boston","Boston","42.3188","-71.0846","United States","US","USA","Massachusetts","admin","4688346","1840000455"
"Lansing","Lansing","42.7142","-84.5601","United States","US","USA","Michigan","admin","324286","1840003102"
"St. Paul","St. Paul","44.9477","-93.1040","United States","US","USA","Minnesota","admin","308096","1840008940"
"Jackson","Jackson","32.3163","-90.2124","United States","US","USA","Mississippi","admin","325350","1840014895"
"Jefferson City","Jefferson City","38.5676","-92.1759","United States","US","USA","Missouri","admin","58025","1840008615"
"Helena","Helena","46.5965","-112.0202","United States","US","USA","Montana","admin","52936","1840019820"
"Lincoln","Lincoln","40.8090","-96.6788","United States","US","USA","Nebraska","admin","289490","1840009357"
"Carson City","Carson City","39.1512","-119.7474","United States","US","USA","Nevada","admin","58756","1840003826"
"Concord","Concord","43.2305","-71.5595","United States","US","USA","New Hampshire","admin","43627","1840002747"
"Trenton","Trenton","40.2236","-74.7641","United States","US","USA","New Jersey","admin","290716","1840001383"
"Santa Fe","Santa Fe","35.6619","-105.9819","United States","US","USA","New Mexico","admin","111269","1840021707"
"Albany","Albany","42.6664","-73.7987","United States","US","USA","New York","admin","586383","1840000417"
"Raleigh","Raleigh","35.8325","-78.6435","United States","US","USA","North Carolina","admin","1038738","1840014497"
"Bismarck","Bismarck","46.8144","-100.7694","United States","US","USA","North Dakota","admin","98345","1840001926"
"Columbus","Columbus","39.9862","-82.9850","United States","US","USA","Ohio","admin","1562009","1840003760"
"Oklahoma City","Oklahoma City","35.4676","-97.5136","United States","US","USA","Oklahoma","admin","972943","1840020428"
"Salem","Salem","44.9231","-123.0246","United States","US","USA","Oregon","admin","266804","1840021224"
"Harrisburg","Harrisburg","40.2752","-76.8843","United States","US","USA","Pennsylvania","admin","442289","1840001288"
"Providence","Providence","41.8230","-71.4187","United States","US","USA","Rhode Island","admin","1203230","1840003289"
"Columbia","Columbia","34.0376","-80.9037","United States","US","USA","South Carolina","admin","560041","1840014730"
"Pierre","Pierre","44.3748","-100.3205","United States","US","USA","South Dakota","admin","14659","1840000313"
"Nashville","Nashville","36.1715","-86.7843","United States","US","USA","Tennessee","admin","1081903","1840036155"
"Austin","Austin","30.3004","-97.7522","United States","US","USA","Texas","admin","1687311","1840019590"
"Salt Lake City","Salt Lake City","40.7777","-111.9306","United States","US","USA","Utah","admin","1098526","1840021383"
"Montpelier","Montpelier","44.2658","-72.5717","United States","US","USA","Vermont","admin","7372","1840002187"
"Richmond","Richmond","37.5295","-77.4756","United States","US","USA","Virginia","admin","1075798","1840001698"
"Olympia","Olympia","47.0417","-122.8959","United States","US","USA","Washington","admin","200915","1840019865"
"Charleston","Charleston","38.3484","-81.6323","United States","US","USA","West Virginia","admin","138706","1840006196"
"Madison","Madison","43.0826","-89.3931","United States","US","USA","Wisconsin","admin","447245","1840002915"
"Cheyenne","Cheyenne","41.1351","-104.7900","United States","US","USA","Wyoming","admin","79484","1840018713"
"Seoul","Seoul","37.5600","126.9900","Korea, South","KR","KOR","Seoul","primary","21794000","1410836482"
"Helsinki","Helsinki","60.1756","24.9342","Finland","FI","FIN","Uusimaa","primary","642045","1246177997"
"Rome","Rome","41.8931","12.4828","Italy","IT","ITA","Lazio","primary","2872800","1380382862"
"Milan","Milan","45.4669","9.1900","Italy","IT","ITA","Lombardy","admin","1366180","1380724377"
"Montgomery","Montgomery","32.3473","-86.2666","United States","US","USA","Alabama","admin","254634","1840008353"
"Juneau","Juneau","58.4546","-134.1739","United States","US","USA","Alaska","admin","31974","1840023306"
"Phoenix","Phoenix","33.5722","-112.0891","United States","US","USA","Arizona","admin","4219697","1840020568"
"Little Rock","Little Rock","34.7256","-92.3576","United States","US","USA","Arkansas","admin","439815","1840015509"
"Sacramento","Sacramento","38.5667","-121.4683","United States","US","USA","California","admin","1898019","1840021491"
"Denver","Denver","39.7621","-104.8759","United States","US","USA","Colorado","admin","2876625","1840018789"
"Washington","Washington","38.9047","-77.0163","United States","US","USA","District of Columbia","primary","5379184","1840006060"
"Tallahassee","Tallahassee","30.4551","-84.2526","United States","US","USA","Florida","admin","257601","1840015913"
"Atlanta","Atlanta","33.7627","-84.4224","United States","US","USA","Georgia","admin","5449398","1840013660"
"Honolulu","Honolulu","21.3294","-157.8460","United States","US","USA","Hawaii","admin","820987","1840013305"
"Boise","Boise","43.6007","-116.2312","United States","US","USA","Idaho","admin","389280","1840027142"
"Springfield","Springfield","39.7710","-89.6538","United States","US","USA","Illinois","admin","158509","1840009517"
"Indianapolis","Indianapolis","39.7771","-86.1458","United States","US","USA","Indiana","admin","1588961","1840030084"
"Des Moines","Des Moines","41.5725","-93.6105","United States","US","USA","Iowa","admin","473957","1840007069"
"Topeka","Topeka","39.0346","-95.6955","United States","US","USA","Kansas","admin","147458","1840001621"
"Frankfort","Frankfort","38.1924","-84.8643","United States","US","USA","Kentucky","admin","38852","1840013210"
"Baton Rouge","Baton Rouge","30.4418","-91.1310","United States","US","USA","Louisiana","admin","570308","1840013941"
"Augusta","Augusta","44.3341","-69.7319","United States","US","USA","Maine","admin","22116","1840000302"
"Annapolis","Annapolis","38.9706","-76.5047","United States","US","USA","Maryland","admin","39223","1840005928"
"Boston","Boston","42.3188","-71.0846","United States","US","USA","Massachusetts","admin","4688346","1840000455"
"Lansing","Lansing","42.7142","-84.5601","United States","US","USA","Michigan","admin","324286","1840003102"
"St. Paul","St. Paul","44.9477","-93.1040","United States","US","USA","Minnesota","admin","308096","1840008940"
"Jackson","Jackson","32.3163","-90.2124","United States","US","USA","Mississippi","admin","325350","1840014895"
"Jefferson City","Jefferson City","38.5676","-92.1759","United States","US","USA","Missouri","admin","58025","1840008615"
"Helena","Helena","46.5965","-112.0202","United States","US","USA","Montana","admin","52936","1840019820"
"Lincoln","Lincoln","40.8090","-96.6788","United States","US","USA","Nebraska","admin","289490","1840009357"
"Carson City","Carson City","39.1512","-119.7474","United States","US","USA","Nevada","admin","58756","1840003826"
"Concord","Concord","43.2305","-71.5595","United States","US","USA","New Hampshire","admin","43627","1840002747"
"Trenton","Trenton","40.2236","-74.7641","United States","US","USA","New Jersey","admin","290716","1840001383"
"Santa Fe","Santa Fe","35.6619","-105.9819","United States","US","USA","New Mexico","admin","111269","1840021707"
"Albany","Albany","42.6664","-73.7987","United States","US","USA","New York","admin","586383","1840000417"
"Raleigh","Raleigh","35.8325","-78.6435","United States","US","USA","North Carolina","admin","1038738","1840014497"
"Bismarck","Bismarck","46.8144","-100.7694","United States","US","USA","North Dakota","admin","98345","1840001926"
"Columbus","Columbus","39.9862","-82.9850","United States","US","USA","Ohio","admin","1562009","1840003760"
"Oklahoma City","Oklahoma City","35.4676","-97.5136","United States","US","USA","Oklahoma","admin","972943","1840020428"
"Salem","Salem","44.9231","-123.0246","United States","US","USA","Oregon","admin","266804","1840021224"
"Harrisburg","Harrisburg","40.2752","-76.8843","United States","US","USA","Pennsylvania","admin","442289","1840001288"
"Providence","Providence","41.8230","-71.4187","United States","US","USA","Rhode Island","admin","1203230","1840003289"
"Columbia","Columbia","34.0376","-80.9037","United States","US","USA","South Carolina","admin","560041","1840014730"
"Pierre","Pierre","44.3748","-100.3205","United States","US","USA","South Dakota","admin","14659","1840000313"
"Nashville","Nashville","36.1715","-86.7843","United States","US","USA","Tennessee","admin","1081903","1840036155"
"Austin","Austin","30.3004","-97.7522","United States","US","USA","Texas","admin","1687311","1840019590"
"Salt Lake City","Salt Lake City","40.7777","-111.9306","United States","US","USA","Utah","admin","1098526","1840021383"
"Montpelier","Montpelier","44.2658","-72.5717","United States","US","USA","Vermont","admin","7372","1840002187"
"Richmond","Richmond","37.5295","-77.4756","United States","US","USA","Virginia","admin","1075798","1840001698"
"Olympia","Olympia","47.0417","-122.8959","United States","US","USA","Washington","admin","200915","1840019865"
"Charleston","Charleston","38.3484","-81.6323","United States","US","USA","West Virginia","admin","138706","1840006196"
"Madison","Madison","43.0826","-89.3931","United States","US","USA","Wisconsin","admin","447245","1840002915"
"Cheyenne","Cheyenne","41.1351","-104.7900","United States","US","USA","Wyoming","admin","79484","1840018713"
